Date,TemperatureHighF,TemperatureAvgF,TemperatureLowF,DewpointHighF,DewpointAvgF,DewpointLowF,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxIn,PressureMinIn,WindSpeedMaxMPH,WindSpeedAvgMPH,GustSpeedMaxMPH,PrecipitationSumIn
2012-1-1,86.4,73.1,62.8,37.8,29.9,21.0,30,21,15,30.23,30.13,7,2,7,0.00
2012-1-2,84.2,70.9,61.4,42.9,30.3,19.4,33,23,16,30.27,30.16,7,3,8,0.00
2012-1-3,85.7,70.1,62.1,40.0,33.4,26.7,35,27,17,30.27,30.18,8,3,8,0.00
2012-1-4,91.1,73.0,61.9,39.4,29.9,20.3,34,22,10,30.30,30.20,8,4,9,0.00 
2012-1-5,86.4,71.3,61.7,33.2,23.2,16.1,28,17,10,30.23,30.04,9,3,9,0.00 
2012-1-6,79.6,65.1,55.8,45.7,34.4,27.3,60,34,18,30.09,30.01,8,3,8,0.00 
2012-1-7,68.4,55.2,48.6,49.8,45.1,36.9,88,70,50,30.08,29.99,7,2,7,0.00 
2012-1-8,77.6,59.8,47.9,46.0,32.1,20.5,90,39,15,30.20,30.07,11,2,11,0.00 
2012-1-9,77.2,61.8,52.9,31.4,24.3,18.3,35,25,15,30.24,30.17,8,2,8,0.00 
2012-1-10,73.8,59.1,50.4,35.5,28.4,24.7,42,32,19,30.23,30.08,10,3,10,0.00 
2012-1-11,71.8,59.8,51.1,40.8,35.5,29.8,47,41,28,30.11,30.01,7,2,7,0.00 
2012-1-12,81.9,64.0,57.6,39.0,31.5,17.6,47,31,18,30.09,30.01,6,2,6,0.00 
2012-1-13,81.4,64.1,52.9,23.3,13.5,2.8,23,14,6,30.20,30.09,7,2,7,0.00 
2012-1-14,72.5,60.5,54.4,25.8,12.6,1.1,32,16,10,30.22,30.13,6,2,6,0.00 
2012-1-15,65.7,56.9,52.0,47.3,31.7,21.0,76,41,22,30.19,30.10,8,2,8,0.01 
2012-1-16,53.6,50.4,47.2,48.9,44.0,39.8,89,79,66,30.26,30.12,12,2,12,0.09 
2012-1-17,66.8,51.5,44.5,43.4,39.6,36.6,77,65,38,30.32,30.23,9,2,9,0.00 
2012-1-18,69.3,53.8,43.0,42.9,36.3,28.1,74,53,30,30.33,30.20,9,3,9,0.00 
